Номер пожара,Дата возникновения пожара,ID Карты,Район,Город,Расстояние,Площадь обнаружения пожара,Тип пожара,Причина,Статус,Текущая площадь пожара,Дата ликвидации пожара,Дата изменения данных,Log,Актуальность данных
10106144\003,28.06.2024 15:20:00,id32,Северо-Енисейский муниципальный район,п Брянка,66,4,Низовой средний,От гроз,Локализован,111,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106144\004,28.06.2024 15:35:00,id32,Северо-Енисейский муниципальный район,п Брянка,77,3,Низовой средний,От гроз,Локализован,46,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106144\007,28.06.2024 16:01:00,id32,Северо-Енисейский муниципальный район,п Новоерудинский,87,1.5,Низовой сильный,От гроз,Локализован,55,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106144\008,28.06.2024 16:16:00,id32,Северо-Енисейский муниципальный район,п Новая Калами,104,5,Низовой сильный,От гроз,Частично локализован,18,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106147\001,29.06.2024 11:07:00,id40,Таймырский Долгано-Ненецкий муниципальный район,п Попигай,49,5,Низовой средний,От гроз,Закрыт по решению КЧП,11,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106161\001,29.06.2024 11:55:00,id0,Эвенкийский муниципальный район,п Эконда,86,200,Низовой сильный,От гроз,Закрыт по решению КЧП,1310,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106161\002,29.06.2024 12:19:00,id0,Эвенкийский муниципальный район,п Юкта,81.3,3,Низовой средний,От гроз,Закрыт по решению КЧП,141,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106103\004,29.06.2024 13:30:00,id0,Эвенкийский муниципальный район,н.п Тычаны,55.1,60,Низовой средний,От гроз,Локализован,300,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106161\003,29.06.2024 16:10:00,id0,Эвенкийский муниципальный район,п Юкта,30.3,3,Низовой средний,От гроз,Закрыт по решению КЧП,584,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106150\009,29.06.2024 17:25:00,id0,Эвенкийский муниципальный район,п Кербо,6,40,Низовой сильный,От гроз,Продолжается,1010,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106161\004,30.06.2024 11:49:00,id0,Эвенкийский муниципальный район,п Юкта,36.9,2,Низовой средний,От гроз,Закрыт по решению КЧП,305,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106138\015,01.07.2024 20:45:00,id54,Енисейский муниципальный район,п Новый Городок,20,5,Низовой сильный,От гроз,Частично локализован,230,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106150\011,02.07.2024 10:35:00,id0,Эвенкийский муниципальный район,п Кербо,83,2,Низовой средний,От гроз,Локализован,77,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106138\017,02.07.2024 12:05:00,id54,Енисейский муниципальный район,п Новый Городок,33,2,Низовой сильный,От гроз,Продолжается,300,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106161\005,02.07.2024 12:10:00,id0,Эвенкийский муниципальный район,п Тура,67,1200,Низовой слабый,От гроз,Продолжается,1300,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106150\012,02.07.2024 14:05:00,id0,Эвенкийский муниципальный район,п Стрелка-Чуня,44,1.2,Низовой средний,От гроз,Продолжается,33,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106150\013,02.07.2024 14:35:00,id0,Эвенкийский муниципальный район,п Ванавара,65,0.1,Низовой средний,От гроз,Продолжается,16,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106144\011,02.07.2024 15:15:00,id32,Северо-Енисейский муниципальный район,п Брянка,34,3,Низовой сильный,От гроз,Продолжается,14,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106151\004,02.07.2024 16:50:00,id31,Туруханский муниципальный район,с Верхнеимбатск,44,24,Низовой сильный,От гроз,Частично локализован,150,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106116\021,02.07.2024 18:00:00,id54,Енисейский муниципальный район,д Колмогорово,11,0.1,Низовой сильный,От гроз,Локализован,30,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106144\012,03.07.2024 11:00:00,id32,Северо-Енисейский муниципальный район,п Новоерудинский,12,1.5,Низовой средний,От гроз,Локализован,4,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106103\007,03.07.2024 16:40:00,id0,Эвенкийский муниципальный район,п Бурный,12,10,Низовой средний,От гроз,Продолжается,60,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106138\020,03.07.2024 17:10:00,id54,Енисейский муниципальный район,п Новый Городок,17,1,Низовой сильный,От гроз,Продолжается,8,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106138\021,03.07.2024 18:40:00,id54,Енисейский муниципальный район,с Сым,47,1,Низовой сильный,От гроз,Частично локализован,100,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106103\008,04.07.2024 08:00:00,id0,Эвенкийский муниципальный район,п Суломай,19,4.5,Низовой средний,От гроз,Продолжается,4.5,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106125\020,04.07.2024 10:00:00,id15,Кежемский муниципальный район,п Недокура,134,2.5,Низовой средний,От гроз,Продолжается,7,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106150\014,04.07.2024 11:45:00,id0,Эвенкийский муниципальный район,п Чемдальск,114,0.8,Низовой средний,От гроз,Продолжается,2,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106151\005,04.07.2024 12:10:00,id31,Туруханский муниципальный район,с Верхнеимбатск,85,2,Низовой сильный,От гроз,Продолжается,10,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106116\025,04.07.2024 12:20:00,id54,Енисейский муниципальный район,п Новоназимово,36,50,Низовой средний,От гроз,Усиливается,60,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
10106109\004,04.07.2024 15:40:00,id31,Туруханский муниципальный район,п Индыгино,16,1.5,Низовой сильный,От гроз,Продолжается,1.5,,05.07.2024 04:02:25,0,05.07.2024 08:46:23
