Номер пожара,Дата возникновения пожара,ID Карты,Район,Город,Расстояние,Площадь обнаружения пожара,Тип пожара,Причина,Статус,Текущая площадь пожара,Дата ликвидации пожара,Дата изменения данных,Log,Актуальность данных
10106144\001,28.06.2024 10:05:00,id32,Северо-Енисейский муниципальный район,рп Северо-Енисейский,36,2,Низовой средний,От гроз,Локализован,185,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\002,28.06.2024 10:18:00,id32,Северо-Енисейский муниципальный район,рп Тея,57,7,Низовой средний,От гроз,Частично локализован,60,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106103\002,28.06.2024 10:40:00,id0,Эвенкийский муниципальный район,п Суломай,61,3,Низовой средний,От гроз,Продолжается,10,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\015,28.06.2024 14:30:00,id54,Енисейский муниципальный район,с Луговатка,30,2,Низовой средний,От гроз,Локализован,110,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\003,28.06.2024 15:20:00,id32,Северо-Енисейский муниципальный район,п Брянка,66,4,Низовой средний,От гроз,Частично локализован,65,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\004,28.06.2024 15:35:00,id32,Северо-Енисейский муниципальный район,п Брянка,77,3,Низовой средний,От гроз,Локализован,46,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\005,28.06.2024 15:50:00,id32,Северо-Енисейский муниципальный район,п Еруда,79,2.5,Низовой средний,От гроз,Локализован,13,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\007,28.06.2024 16:01:00,id32,Северо-Енисейский муниципальный район,п Еруда,81,1.5,Низовой сильный,От гроз,Частично локализован,37,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\008,28.06.2024 16:16:00,id32,Северо-Енисейский муниципальный район,п Новая Калами,104,5,Низовой сильный,От гроз,Частично локализован,17,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\009,28.06.2024 16:22:00,id32,Северо-Енисейский муниципальный район,п Новая Калами,104,1,Низовой сильный,От гроз,Локализован,24,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106144\010,28.06.2024 16:37:00,id32,Северо-Енисейский муниципальный район,п Новая Калами,40,4,Низовой средний,От гроз,Локализован,20,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106103\003,29.06.2024 09:55:00,id0,Эвенкийский муниципальный район,п Суломай,30.8,15,Низовой средний,От гроз,Локализован,30,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106147\001,29.06.2024 11:07:00,id40,Таймырский Долгано-Ненецкий муниципальный район,п Попигай,49,5,Низовой средний,От гроз,Продолжается,11,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\001,29.06.2024 11:55:00,id0,Эвенкийский муниципальный район,п Эконда,86,200,Низовой сильный,От гроз,Продолжается,1204,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\002,29.06.2024 12:19:00,id0,Эвенкийский муниципальный район,п Юкта,81.3,3,Низовой средний,От гроз,Продолжается,78,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106103\004,29.06.2024 13:30:00,id0,Эвенкийский муниципальный район,н.п Тычаны,55.1,60,Низовой средний,От гроз,Частично локализован,300,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106132\005,29.06.2024 14:00:00,id21,Манский муниципальный район,д Жайма,19,2.5,Низовой средний,От гроз,Локализован,40,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\017,29.06.2024 16:10:00,id54,Енисейский муниципальный район,д Колмогорово,1.7,2,Низовой сильный,От гроз,Частично локализован,35,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\003,29.06.2024 16:10:00,id0,Эвенкийский муниципальный район,п Юкта,30.3,3,Низовой средний,От гроз,Продолжается,499,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106150\009,29.06.2024 17:25:00,id0,Эвенкийский муниципальный район,п Кербо,6,40,Низовой сильный,От гроз,Продолжается,426,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106154\010,30.06.2024 10:25:00,id9,Ермаковский муниципальный район,с Верхнеусинское,50,0.5,Низовой средний,От гроз,Локализован,5,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106132\006,30.06.2024 11:30:00,id21,Манский муниципальный район,д Жайма,19,0.01,Низовой слабый,От гроз,Локализован,5,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\004,30.06.2024 11:49:00,id0,Эвенкийский муниципальный район,п Юкта,36.9,2,Низовой средний,От гроз,Продолжается,257,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106154\011,30.06.2024 17:25:00,id9,Ермаковский муниципальный район,с Верхнеусинское,25,0.2,Низовой средний,От гроз,Локализован,7,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106154\012,01.07.2024 09:00:00,id9,Ермаковский муниципальный район,с Верхнеусинское,33,0.2,Низовой средний,От гроз,Локализован,10,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106116\019,01.07.2024 09:00:00,id54,Енисейский муниципальный район,с Лосиноборское,32,0.2,Низовой средний,От гроз,Локализован,8,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106120\009,01.07.2024 11:14:00,id11,Ирбейский муниципальный район,п Степановка,48,5,Низовой средний,От гроз,Продолжается,5,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106120\010,01.07.2024 11:29:00,id11,Ирбейский муниципальный район,п Степановка,56,7,Низовой средний,От гроз,Продолжается,7,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\009,01.07.2024 12:20:00,id54,Енисейский муниципальный район,д Безымянка,43,0.2,Низовой сильный,От гроз,Локализован,2,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\010,01.07.2024 13:15:00,id54,Енисейский муниципальный район,с Сым,30,0.3,Низовой сильный,От гроз,Локализован,2.2,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\012,01.07.2024 16:50:00,id54,Енисейский муниципальный район,д Никулино,77,2,Низовой сильный,От гроз,Локализован,12,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\013,01.07.2024 20:30:00,id54,Енисейский муниципальный район,п Александровский Шлюз,5,0.5,Низовой сильный,От гроз,Локализован,5,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\014,01.07.2024 20:35:00,id54,Енисейский муниципальный район,п Александровский Шлюз,7,0.5,Низовой сильный,От гроз,Локализован,5,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\015,01.07.2024 20:45:00,id54,Енисейский муниципальный район,п Новый Городок,20,5,Низовой сильный,От гроз,Продолжается,80,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106150\011,02.07.2024 10:35:00,id0,Эвенкийский муниципальный район,п Кербо,83,2,Низовой средний,От гроз,Продолжается,4,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\016,02.07.2024 11:00:00,id54,Енисейский муниципальный район,п Александровский Шлюз,6,1,Низовой сильный,От гроз,Продолжается,10,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106125\017,02.07.2024 11:30:00,id15,Кежемский муниципальный район,с Яркино,91,4.5,Низовой средний,От гроз,Локализован,15,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106138\017,02.07.2024 12:05:00,id54,Енисейский муниципальный район,п Новый Городок,33,2,Низовой сильный,От гроз,Усиливается,50,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
10106161\005,02.07.2024 12:10:00,id0,Эвенкийский муниципальный район,п Тура,67,12,Низовой слабый,От гроз,Частично локализован,120,,03.07.2024 03:53:16,0,03.07.2024 08:46:27
